,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
68,5c4KBG3ATUOmP8y2KHGGoI,Cositas de la USA,Cositas de la USA,Maluma,189015,2022-01-20,0.203,0.835,0.587,2.83e-05,11,0.101,-7.094,1,0.322,90.001,4,0.423,54,0
69,133TJ3am9C4woxFTVJ9wVp,Sincero,Sincero,Don Omar,218391,2022-01-14,0.224,0.722,0.664,2.15e-06,7,0.109,-7.102,0,0.119,80.004,4,0.428,17,0
70,4yoc5cUWk4OFvqOcvFvw0o,Dictadura,Dictadura,Anuel AA,208007,2021-10-28,0.169,0.822,0.708,1.84e-05,1,0.114,-4.651,0,0.0825,94.974,4,0.456,53,0
71,05jVbjHBsX3V8OxFWlpayR,Pa'lla Voy,Pa'lla Voy,Marc Anthony,246787,2021-08-27,0.509,0.692,0.926,0.000219,9,0.0496,-4.548,0,0.0548,96.004,4,0.966,61,0
72,1FlL8ycld6uVDDyhV7P5FA,Cúrame,VICE VERSA,Rauw Alejandro,164705,2021-12-10,0.584,0.765,0.625,0.00111,9,0.112,-3.599,0,0.0548,102.101,4,0.262,79,1
73,5bQLsyTrUaMQRfr6whwGe5,Aquel Nap ZzZz,VICE VERSA,Rauw Alejandro,295038,2021-12-10,0.62,0.457,0.495,0.000228,4,0.109,-6.044,1,0.0797,79.513,4,0.311,74,0
74,4HzqWEdAbzcVFDv0pvxV4w,Sobrio,Sobrio,Maluma,201180,2021-07-08,0.138,0.762,0.77,0.0,5,0.15,-2.758,1,0.223,177.998,4,0.631,76,1
75,1mG8VynhqySA52bALfYrvO,Sal y Perrea - Remix,Sal y Perrea (Remix),Sech,226500,2021-09-30,0.161,0.819,0.955,2.08e-05,7,0.289,-0.521,0,0.0908,89.959,4,0.725,58,0
76,4w6dsdn8DjKUeGWwxlRKrT,MÉTELE AL PERREO,MÉTELE AL PERREO,Daddy Yankee,223244,2021-09-03,0.0735,0.671,0.764,0.0011,6,0.0611,-2.422,0,0.0965,180.183,4,0.706,50,0
77,65wccjJxugGBsPKZcsHG49,MOOD - Remix,MOOD (Remix),Omy de Oro,226046,2021-12-17,0.322,0.724,0.52,2.23e-06,6,0.322,-6.055,0,0.424,171.887,4,0.779,58,0
78,63aj87TQG6F3RVO5nbG2VQ,In Da Getto,In Da Getto,J Balvin,131065,2021-07-02,0.025,0.915,0.72,1.42e-05,8,0.0942,-3.126,1,0.0459,126.986,4,0.631,71,0
79,1CrPPsibP3uTc3DSI5vQC5,fue mejor (feat. SZA),fue mejor (feat. SZA),Kali Uchis,230964,2021-09-29,0.239,0.769,0.384,0.000227,5,0.0762,-7.414,0,0.0353,106.002,4,0.23,63,0
80,0MJ9rq9zMOe0G7eL3j5w8G,Jóvenes Millonarios,Jóvenes Millonarios,Eladio Carrion,182189,2021-11-30,0.214,0.753,0.589,0.00236,0,0.168,-7.321,1,0.223,137.014,4,0.252,67,0
81,5zaIVQv1oPnTa86BUmmbjz,Mcgregor,Las Leyendas Nunca Mueren,Anuel AA,283232,2021-11-26,0.312,0.705,0.572,0.0,11,0.13,-6.575,0,0.0841,112.175,4,0.332,63,0
82,0eNe9tTxrXzyoX3DSeJEDN,Leyenda,Leyenda,Anuel AA,220341,2021-11-11,0.472,0.809,0.773,0.0,1,0.0815,-2.475,1,0.0391,129.99,4,0.835,49,0
83,68vJWWz7KPU4JCsgAySVPZ,Dos Tragos,Dos Tragos,Jay Wheeler,192840,2021-07-22,0.197,0.79,0.578,0.00109,0,0.129,-4.943,0,0.0786,172.018,4,0.78,44,0
84,1ESyXyXxZmII2sXhMVpk9D,Bésame,Bésame,Luis Fonsi,170106,2021-06-04,0.0961,0.789,0.752,0.0,0,0.0888,-4.114,1,0.0364,139.969,4,0.902,57,0
85,0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,Volando (Remix),Mora,273474,2021-07-08,0.207,0.659,0.688,0.0,6,0.113,-4.649,1,0.0673,153.979,4,0.632,79,1
86,0XpMTExp5q4nLZZZ3msDGn,La Funka,La Funka,Ozuna,198827,2021-09-12,0.162,0.802,0.757,0.000533,4,0.129,-5.733,1,0.0465,123.01,4,0.869,56,0
87,0aZnyTWJNgdzYoOiaW8HKG,200 COPAS,KG0516,KAROL G,217213,2021-03-26,0.767,0.515,0.704,0.0,9,0.415,-5.25,0,0.206,91.246,3,0.885,76,1
88,7FERDnffKGQKul3P32Sm37,Lao' a Lao',Lao' a Lao',Prince Royce,184341,2021-08-12,0.126,0.759,0.768,8.25e-06,0,0.18,-3.785,0,0.0392,130.011,4,0.697,58,0
89,4JgSGk8yY0hQE9aENUSqVm,ME PASE (feat. Farruko),ME PASE (feat. Farruko),Enrique Iglesias,181573,2021-07-02,0.256,0.745,0.904,1.02e-06,6,0.0843,-2.045,0,0.047,93.977,4,0.731,61,0
90,0IqCoZ168iRc9LqfrYgpZy,KESI - Remix,KESI (Remix),Camilo,176575,2021-07-14,0.127,0.871,0.815,6.18e-06,4,0.094,-4.439,1,0.0477,122.959,4,0.823,70,0
91,03NqHNdG3Ur6kciQWK6e8V,Oh Na Na,Oh Na Na,Camila Cabello,203652,2021-10-29,0.0715,0.744,0.862,5.58e-06,0,0.0889,-3.446,1,0.0622,115.021,4,0.688,58,0
92,1mrGEef8GuaEnDdw8J5BQp,"Anuel AA: Bzrp Music Sessions, Vol. 46","Anuel AA: Bzrp Music Sessions, Vol. 46",Bizarrap,201507,2021-11-03,0.347,0.405,0.837,0.0,8,0.0901,-4.188,0,0.294,74.966,1,0.655,64,0
93,1WedZeiezCmCEOzLwhx0hV,Poblado - Remix,Poblado (Remix),J Balvin,393280,2021-06-18,0.102,0.813,0.809,1.37e-06,3,0.377,-5.382,0,0.0846,93.005,4,0.646,70,0
94,6PDlkWmrq2ZKiUuFt2aQsH,Loco,Loco,Justin Quiles,231603,2021-05-13,0.222,0.77,0.899,1.14e-06,8,0.0894,-2.981,1,0.0494,128.05,4,0.851,70,0
95,2KcNrONbZ0hvBPjvrDO2tx,ALMAS GEMELAS,ALMAS GEMELAS,Myke Towers,235411,2021-07-22,0.182,0.793,0.745,0.000189,7,0.293,-4.579,1,0.0571,94.979,4,0.716,68,0
96,71R8HJxQk5qMiRstrlXN9t,2/Catorce,2/Catorce,Rauw Alejandro,212031,2021-02-14,0.675,0.54,0.455,1.08e-05,3,0.12,-5.988,1,0.224,83.876,4,0.432,68,0
97,1kGhjFgl6A68ZAYvtw2UDK,Pa Mis Muchachas (feat. Nathy Peluso),Pa Mis Muchachas (feat. Nathy Peluso),Christina Aguilera,216737,2021-10-22,0.187,0.867,0.7,5.95e-06,9,0.177,-3.801,0,0.0862,117.982,4,0.495,55,0
98,4bF2y8rR7GUjrd5LNEvej3,París,París,Ingratax,151428,2021-07-09,0.441,0.57,0.455,0.000746,1,0.0654,-5.748,0,0.0996,167.933,4,0.399,68,0
