,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
32,4E5PB55vLwQPIO1OvpU53S,Sleep Alone,Beacon (Deluxe Version),Two Door Cinema Club,236440,2012-08-31,0.000102,0.534,0.755,0.00226,0,0.0927,-4.943,1,0.043,148.008,4,0.519,0,0
33,2XepCRxSFc9nqmd9RWrlMo,Dark and Stormy,Dark and Stormy,Hot Chip,295840,2013-06-04,0.00361,0.597,0.891,0.0986,2,0.585,-5.468,1,0.034,131.999,4,0.807,0,0
34,7brQHA2CgQpcMBiOlfiXYb,Afraid,I Love You.,The Neighbourhood,251186,2013-04-19,0.00892,0.464,0.701,0.309,6,0.335,-5.693,0,0.0411,83.996,4,0.356,76,1
35,5F3n5PQX3Is5xhFh1UM1BQ,Elephant,Lonerism,Tame Impala,211226,2012-10-08,0.562,0.598,0.553,0.157,9,0.257,-6.742,0,0.0397,123.075,4,0.533,0,0
36,4AXaRpd7ajkPHLo0B0giD6,Beta Love,Beta Love - Single,Ra Ra Riot,175746,2012-11-13,0.103,0.622,0.83,1.33e-05,6,0.0295,-4.539,1,0.0386,111.981,4,0.549,0,0
37,1gvQnUTSRfhhxvAzd7zHEo,Hail Bop,Django Django,Django Django,243693,2012-08-21,0.0129,0.615,0.751,0.592,10,0.24,-7.38,0,0.0321,123.739,4,0.531,0,0
38,3QYZVdZTLIqhiNa1QNobFa,The City,IV,The 1975,224075,2013-05-19,0.000213,0.463,0.946,0.000723,5,0.151,-5.573,1,0.126,95.06,4,0.284,0,0
39,3RHiD5mnTdKQRJVDx7a1A0,Cough Cough,Cough Cough,Everything Everything,222386,2012-10-12,0.0501,0.329,0.869,4.19e-05,11,0.203,-5.533,0,0.0693,127.001,4,0.688,20,0
40,3tRqWoZuQtOfG54Vd6nNdq,Inhaler,Holy Fire,Foals,292546,2013-02-11,0.0036,0.536,0.73,0.668,2,0.183,-7.606,0,0.0427,97.206,4,0.438,0,0
41,3a4o1Yj1j7fATDxFSBgUYe,Look At Where We Are,In Our Heads,Hot Chip,239426,2012-06-12,0.597,0.792,0.387,0.000106,8,0.0757,-8.192,0,0.0464,136.996,4,0.67,0,0
42,2dcmQJCw1INGn7yR2KHx0U,The House That Heaven Built,Celebration Rock,Japandroids,289150,2012-06-05,0.000522,0.322,0.985,0.00865,0,0.0964,-3.494,1,0.14,161.195,4,0.0815,0,0
43,7e8bQb1csn5WvpOc4b5PJg,Female Robbery,I'm Sorry...,The Neighbourhood,206813,2012-08-07,0.056,0.403,0.888,0.00161,7,0.0682,-3.382,0,0.0413,176.483,4,0.391,41,0
44,4OCyTIH3lUd3rZ0BNqS935,Life's a Beach,Life's a Beach,Django Django,185613,2012-11-12,0.108,0.517,0.85,0.00212,4,0.129,-5.235,1,0.0385,172.933,4,0.674,19,0
45,5GKVcvTgnFYtfh25qKQtRg,One Way Trigger,Comedown Machine,The Strokes,242293,2013-03-25,0.000182,0.516,0.942,0.464,2,0.116,-4.113,1,0.036,95.996,4,0.964,58,0
46,482nc1OVq3aK12gyW0Y6fV,Dance With Me,Beta Love,Ra Ra Riot,144186,2013-01-22,0.00285,0.637,0.84,0.0,4,0.357,-4.556,1,0.045,129.974,4,0.668,0,0
47,2qECpTF1Sr9CpDVM2JFs8k,Need Your Love,The Temper Trap,The Temper Trap,218653,2012-03-24,0.00561,0.464,0.902,0.000158,0,0.186,-4.325,1,0.0717,169.277,4,0.249,21,0
